Drug_Name,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31,PC32,PC33,PC34,PC35,PC36,PC37,PC38,PC39,PC40,PC41,PC42,PC43,PC44,PC45,PC46,PC47,PC48,PC49,PC50
DB00126,4.634369969,-1.246104037,2.075258734,-0.922408894,-0.965086964,0.846853408,0.293215189,1.072939536,-0.222252638,0.155773313,-0.514866689,-0.180829299,-0.427423078,-0.294240129,0.021332558,-0.48152576,0.234909482,0.149318745,0.054936673,-0.00388395,-0.129699872,-0.031660769,-0.170628813,-0.003594405,-0.143081623,0.028717508,0.21447481,-0.00094725,0.117142381,0.067768611,-0.051539851,0.209329866,0.085725239,0.081833914,0.179800212,0.029938154,-0.117926118,0.080546581,-0.190326301,0.09685807,0.176944817,0.039560468,-0.004692278,0.037425745,0.040868785,0.000919721,0.098562136,0.082609326,0.032116645,0.00153833
DB00127,2.301134492,1.552721817,1.524526949,2.237877096,-1.32884045,-1.30828488,-0.965057218,0.129128196,0.644493069,-0.069190554,0.601493342,0.339312551,0.272783022,0.707190912,-0.250143111,-0.08759706,0.427803079,-0.127112626,-0.066628129,-0.156331133,-0.132224635,0.232812913,0.027727237,0.087004045,0.030208648,0.406985874,-0.069445882,0.253237743,0.122625454,0.015680792,-0.034479922,-0.174356333,0.016803728,0.179636459,0.2659603,-0.274987085,0.131501153,0.150294537,-0.075551587,0.017091253,0.014241454,-0.025967322,0.011663522,-0.058845162,-0.117829566,0.094999467,0.129790199,-0.042863573,-0.095525446,0.070182329
DB00128,5.405243823,-1.76871058,3.397033504,-0.347874783,-1.471065853,0.885165919,0.830063703,-1.15365661,-0.370123292,0.039298053,-0.700516034,0.002477162,0.390539313,0.228675129,-0.49727227,-0.158494267,0.114514745,-0.07154992,-0.022897884,-0.126275725,0.336907809,-0.218438078,0.236483466,0.075729258,-0.207649595,-0.028589096,0.169085513,0.146602052,-0.05456574,-0.285495664,-0.166770506,-0.222252624,-0.112521935,-0.218196821,-0.069117934,-0.125006517,-0.142824615,0.161120577,-0.243770541,0.218702427,0.106343161,-0.02903408,-0.176002436,-0.123733571,0.249619424,-0.139042429,-0.002387773,0.040078397,-0.119406771,-0.029844744
DB00129,2.79459329,-1.506137099,3.746654171,0.535771942,-1.759420238,-0.226453831,0.192374457,-0.625475455,0.079322317,-0.515117249,-0.648916498,0.011833685,0.719652408,0.421159199,-0.330701948,0.004452521,0.08846002,-0.288137358,-0.130370904,-0.197208843,0.448684027,-0.325267791,0.42865598,-0.117428421,-0.152381852,-0.027694235,-0.246972281,-0.112856144,-0.248984262,-0.172794973,0.111707013,-0.026363016,0.073138962,0.149326726,0.016932021,-0.195295719,-0.065612543,0.043494009,-0.151794587,-0.098382235,0.131144334,-0.16578596,-0.016932327,0.01951636,0.142040739,-0.074901291,-0.040468092,-0.141236054,0.10984234,0.041000093
DB00130,3.726394893,-1.697612708,3.577264467,0.136255913,-1.537945964,0.297253529,0.445037393,-1.109631504,-0.16842134,-0.488921892,-0.662123339,-0.035325017,0.721981234,0.319894966,-0.336947226,-0.119962746,-0.030700054,-0.305402237,-0.078914111,-0.094466166,0.341620346,-0.287169936,0.333085505,-0.039262825,-0.202796356,0.009941951,0.025697134,-0.034002488,-0.098761294,-0.17992331,-0.040023409,-0.158680464,-0.036556022,-0.182991032,0.042677441,-0.316880939,-0.083926951,0.034582983,-0.207286157,-0.007218207,0.19841761,-0.052854346,-0.072462564,-0.027397897,0.12912197,-0.010304809,-0.076258307,-0.074914114,0.060939967,-0.054529275
DB00131,2.001926028,-0.6373338,1.383526157,-1.294668937,-0.828612395,1.303897114,-0.650771834,1.546511786,-0.22377182,-0.382728746,0.399694471,-0.346751594,0.681794197,0.158131819,0.031069703,0.213322105,0.26871012,0.209740131,0.554260553,-0.10915493,0.194540388,0.083338763,-0.528499175,0.166155795,0.444423123,-0.076227137,0.113789279,-0.076471971,-0.260643301,-0.062623851,0.103760522,-0.160897271,0.169751922,-0.02074944,-0.182272605,-0.02731596,-0.12990875,0.088781089,0.268910608,0.367643747,0.011885414,0.088094653,0.038999211,0.024372236,0.040172062,-0.105319711,-0.02229127,-0.038880002,-0.006085253,0.046733355
DB00132,1.113998187,2.245479716,1.953629686,2.266233205,-1.021130714,-1.036203952,-0.415289372,-0.258959067,0.648659835,0.603704006,0.775690544,-0.141344865,-0.827612888,0.552540514,-0.357223027,0.132922603,0.200082741,-0.231384381,0.246536869,0.046192196,0.232272142,-0.05883516,-0.044382059,0.07930216,0.023360877,-0.146408359,-0.118702047,0.110627478,0.280546635,-0.093720032,-0.165113347,-0.181575316,-0.106654254,-0.229859181,0.035631713,0.047084079,0.356234138,0.240834394,0.179468037,-0.11510866,0.196226223,0.01019128,-0.025583562,0.109987526,-0.196481883,-0.136512377,0.128729119,-0.109897997,-0.047182164,0.019584632
DB00133,5.527792676,-1.931291073,3.486370128,-0.492637393,-1.522223111,0.744809301,0.988732999,-0.62457513,-0.109757895,0.063263207,-1.04351447,0.004914546,0.386991899,0.242696899,-0.506274941,-0.034042496,0.373734148,0.149113674,0.083514619,-0.105965713,0.490431386,-0.106347844,0.208627045,0.073977446,-0.146373705,0.095201611,0.109887905,0.075129794,-0.003537044,-0.240494015,-0.110589947,-0.021068674,0.003635012,0.035875638,0.120600024,0.063269894,-0.116036161,0.110098237,-0.336022996,0.110902748,0.12920805,-0.165944408,-0.097794083,-0.163105741,0.234123243,-0.169269702,0.048043263,0.065865794,-0.029350496,0.02379316
DB00134,2.000687333,-1.777249325,3.97546895,0.001539705,-0.756649172,-0.107092975,0.601383868,-0.753522406,0.05081534,-0.521187337,-0.821756161,0.002502956,0.161399029,0.516475245,-0.106075545,0.306798788,-0.093947691,0.012994099,0.139119429,0.03177573,0.547998632,-0.369033929,0.381250693,0.038622172,-0.291353376,-0.089147407,-0.104429899,-0.141110378,0.072813816,-0.122283634,0.019234475,-0.154457495,0.172624138,-0.050890756,-0.07797429,-0.164050665,-0.115948523,-0.048969399,-0.28149787,0.004165439,0.166637353,-0.229908423,-0.035055222,0.013797515,0.038072493,-0.147622721,-0.069897145,-0.113711079,0.125858682,0.017761643
DB00135,-0.528453494,-3.684330578,1.841297488,-0.372928288,-1.169276624,1.172749856,0.613021609,-0.163421272,0.53403939,0.541074859,-0.430223513,0.637546537,0.62252036,0.189261087,0.037030314,-0.17671219,0.134257588,-0.085221084,-0.37696974,0.019476847,0.602013872,-0.324139072,-0.024599324,0.124640526,-0.107395996,-0.2369665,0.070922008,-0.061225846,-0.073288518,-0.168040779,-0.374469248,0.154384278,-0.006644354,0.055738067,-0.163736596,-0.150519748,0.002336235,0.084336096,-0.26272533,0.223875469,-0.069184667,-0.106630962,-0.163210503,-0.116700429,0.08850947,-0.061012176,0.047686365,-0.071020619,0.071403958,0.00504075
DB00136,-0.829520737,4.843723501,0.453226512,-0.409397896,-0.068774045,0.128382423,0.49741093,0.452325099,0.409505335,0.082503485,-0.493789941,-0.131323034,0.097253691,0.142429914,0.152524017,-0.354213686,-0.158015335,-0.175171386,0.297319581,-0.144032713,-0.215542484,-0.358642892,0.260445159,0.172417323,0.211511329,-0.151669859,-0.322096867,-0.032466675,0.077563896,0.139600904,0.005498219,0.188512524,-0.10113791,-0.116835579,-0.167230774,-0.020761252,-0.198606712,0.027011618,0.393647997,-0.115263341,0.122744497,-0.010273652,-0.106009332,-0.000150174,0.011027223,0.036585976,-0.082376257,-0.012856343,0.079845805,0.196478059
DB00137,2.748495166,3.859963021,-0.692702806,0.03541265,0.875229539,0.988818042,0.25678915,0.0965511,0.434438193,-0.154156712,-0.248697958,-0.061587658,-0.109816654,-0.086109902,-0.308186127,0.109591407,-0.01093265,-0.40603097,-0.157140981,-0.128300048,-0.134573618,-0.201994883,-0.010348132,0.336915942,0.119209585,-0.488264787,-0.138970447,0.114448254,0.500808762,-0.034787688,0.210335604,-0.078629062,-0.140240672,0.088024905,-0.114564559,0.088963438,0.19576482,0.357219327,0.240267712,-0.047666038,0.135544553,-0.134419717,0.205573303,-0.133733836,0.076580878,0.081407894,0.063576213,-0.057061307,0.13896086,-0.122638604
DB00138,3.542583564,-1.257870434,3.262129405,0.20878863,-1.436929602,0.440086532,0.408885337,-0.550532884,-0.479136692,-0.406714571,-0.5436999,0.25023405,0.479099036,0.28631963,-0.189022375,-0.277437859,0.051070306,-0.420428172,-0.013074093,-0.113459842,0.3045786,-0.158203011,0.186954797,-0.037377882,-0.222168431,-0.088333354,0.061644051,-0.047602836,-0.083268082,-0.164230403,0.014673326,-0.129356749,-0.054062577,-0.120540725,-0.081183452,-0.242273099,-0.121369708,-0.029858912,-0.086900532,0.085635815,0.072571065,-0.033225591,-0.077118321,-0.024793781,0.134725867,-0.0015915,-0.065957141,-0.07077596,0.041085823,-0.13292781
DB00139,5.637340765,-1.297778196,3.117677923,0.181731505,-1.551802752,0.172434994,0.594494856,-0.86882165,-0.459731897,0.41303083,-0.366222725,-0.689748923,-0.074647289,-0.463397173,-0.290240764,0.042230427,-0.591145703,-0.084212544,-0.268755847,-0.114057224,-0.212587116,-0.055456608,-0.026215398,0.177954215,-0.059087344,0.021809808,-0.022029605,0.085596895,-0.020554563,-0.278920852,-0.134634347,-0.190769793,-0.181138255,-0.311275423,-0.044947526,0.009862049,-0.142739652,0.023817091,0.036434238,0.017036932,0.184133214,0.108841838,-0.079586544,0.022736334,0.056846482,-0.002829566,-0.082067364,-0.067549302,-0.162149053,-0.189138013
DB00140,-1.152311491,-0.224123611,1.589864685,0.297752652,0.409274608,0.483402777,-0.771464526,0.873250758,-0.878472806,-0.003306534,-0.669400165,0.113553635,-0.495583918,-0.281982212,0.289591706,-0.526685892,0.184489914,0.249554114,0.429753774,-0.225408785,0.196104181,0.35141616,-0.138842548,-0.366686502,-0.053973947,0.000683652,0.038831689,0.057293753,0.101521366,-0.030748838,0.004767738,-0.050306005,-0.145612488,0.00399053,0.044819704,0.243482833,0.062853042,-0.117830608,-0.007769343,-0.135997869,0.009358517,-0.039397745,0.173109169,-0.072516152,0.060674013,0.114058409,-0.082100446,-0.225735322,0.003321904,-0.167233758
DB00141,2.014192085,-0.634713003,3.120650742,0.002890377,-0.438239032,0.475065247,0.704844671,0.494254207,-0.846398946,-0.210647046,-0.556207558,0.556119,-0.810871014,0.118237797,0.602168138,-0.091642843,0.333818307,-0.38233468,0.348043823,0.291869688,-0.109703759,0.66221443,-0.26721256,-0.249487833,-0.143601858,-0.019179858,0.097980793,-0.018919476,0.547859791,0.00121356,-0.005415408,0.221384265,0.098636825,0.18128695,0.103579655,0.354373776,0.029969627,0.107466744,0.138974087,-0.192382509,0.05879743,-0.10129806,-0.065348387,-0.008415801,0.036198953,0.0434498,-0.051663953,-0.044100696,-0.013971972,-0.025250131
